0.99000 -1
0.89474	-1
0.78947	-1
0.68421	-1
0.57895	-1
0.47368	-1
0.36842	-1
0.26316	-1
0.15789	-1
0.052632	-1
-0.052632	-1
-0.15789	-1
-0.26316	-1
-0.36842	-1
-0.47368	-1
-0.57895	-1
-0.68421	-1
-0.78947	-1
-0.89474	-1
-1	-1
-1	-0.89474
-1	-0.78947
-1	-0.68421
-1	-0.57895
-1	-0.47368
-1	-0.36842
-1	-0.26316
-1	-0.15789
-1	-0.052632
-1	0.052632
-1	0.15789
-1	0.26316
-1	0.36842
-1	0.47368
-1	0.57895
-1	0.68421
-1	0.78947
-1	0.89474
-1	1
-0.88889	1
-0.77778	1
-0.66667	1
-0.55556	1
-0.44444	1
-0.33333	1
-0.22222	1
-0.11111	1
0	1
0	0.88889
0	0.77778
0	0.66667
0	0.55556
0	0.44444
0	0.33333
0	0.22222
0	0.11111
0   0
0.11111	0
0.22222	0
0.33333	0
0.44444	0
0.55556	0
0.66667	0
0.77778	0
0.88889	0
1	-0
1	-0.11111
1	-0.22222
1	-0.33333
1	-0.44444
1	-0.55556
1	-0.66667
1	-0.77778
1	-0.88889
1	-1
